"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"184407","AT 2025rpv","20:56:47.854","-23:15:41.00","AGN","0.076","","","ZTF","ZTF","SCAT","ZTF","ZTF25aavxfcj","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.7168","r-ZTF","2025-06-19 09:58:08.002","Fritz","","","2025TNSTR2790....1W","2025TNSCR2817....1K","",""
"182793","AT 2025pix","16:25:26.519","+57:27:29.62","AGN","0.068","SDSS J162526.54+572727.8","","ALeRCE","ZTF","SCAT","ZTF","ZTF25aaydrer","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.9549","g-ZTF","2025-06-28 06:51:27.996","ALeRCE","","","2025TNSTR2484....1F","2025TNSCR2621....1K","",""
"173740","AT 2025dda","07:27:57.910","-04:24:11.40","AGN","0.427","","","XOSS","XOSS","FLEET","XOSS","KATS25E002","Other - Other","Magellan-Clay - LDSS-3","1","1","","19.11","Clear-","2025-03-02 15:04:31.296","Mi Zhang","","","2025TNSTR.861....1X","2025TNSCR2040....1G","",""
"170710","AT 2025qw","06:52:01.447","+27:07:23.00","AGN","0.037","","","GOTO, ZTF","GOTO, ZTF","ePESSTO+","GOTO, ZTF","GOTO25ji","GOTO-N - GOTO-1, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.69","L-GOTO","2025-01-15 20:46:55.488","GOTO_bot","","","2025TNSTR.233....1K","2025TNSCR.320....1W","",""
"170216","AT 2025az","05:01:05.561","-24:25:04.13","AGN","0.328","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ePESSTO+","ATLAS, Pan-STARRS","ATLAS25adr","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","20.225","cyan-ATLAS","2025-01-03 20:55:45.120","ATLAS_Bot1","","","2025TNSTR..44....1T","2025TNSCR.129....1R","",""
"170057","AT 2024aghq","10:03:26.786","+33:47:29.29","AGN","0.3505","","","ZTF, GOTO","ZTF, GOTO","FLEET","GOTO, ZTF","ZTF24abwywkf","GOTO-N - GOTO-2, P48 - ZTF-Cam","MMT - BINOSPEC","1","1","","20.5232","g-ZTF","2024-11-23 10:59:51.996","Fritz","","","2025TNSTR...6....1M","2025TNSCR.960....1G","",""
"168651","AT 2024aelk","12:29:14.688","+25:41:18.81","AGN","0.12","","","Pan-STARRS, ZTF, ATLAS","Pan-STARRS, ZTF, ATLAS","ePESSTO+","ATLAS, Pan-STARRS, ZTF","PS24muv","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.43","i-P1","2024-12-18 14:53:25.152","PS1_Bot1","","","2024TNSTR5001....1C","2025TNSCR1303....1G","",""
"165426","AT 2024ztp","08:03:27.401","+08:41:52.31","AGN","0.04674","","","GOTO","GOTO","GOTO","GOTO","GOTO24huz","GOTO-N - GOTO-1","LT - SPRAT","1","1","","18.48","L-GOTO","2024-09-14 05:30:45.216","GOTO_bot","","","2024TNSTR4217....1K","2024TNSCR4357....1O","",""
"165183","AT 2024zkr","01:54:22.960","-05:59:50.60","AGN","0.078","SDSS J015422.95-055950.7","","ALeRCE, GOTO, GaiaAlerts, Pan-STARRS","ZTF, GOTO, GaiaAlerts, Pan-STARRS","ePESSTO+","ALeRCE, GaiaAlerts, GOTO, Pan-STARRS","ZTF18abuxiwj","Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-S - GOTO-3, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.4862","g-ZTF","2024-10-21 07:04:52.000","ALeRCE","","","2024TNSTR4142....1M","2024TNSCR4373....1H","",""
"161597","AT 2024vav","01:51:52.168","-32:52:38.90","AGN","0.195","","","ATLAS","ATLAS","None","ATLAS","ATLAS24obj","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.812","cyan-ATLAS","2024-09-05 23:32:02.112","ATLAS_Bot1","","","2024TNSTR3370....1T","2024TNSCR3489....1A","",""
