source_id,label,n_points,g_points,r_points,span_days
ZTF18abxftqm,TDE,95,49,46,369.9
ZTF18acaqdaa,TDE,296,141,155,952.3
ZTF19aabbnzo,TDE,41,17,24,119.7
ZTF19aakiwze,TDE,46,24,22,138.7
ZTF19aakswrb,TDE,44,22,22,126.8
ZTF19aapreis,TDE,82,36,46,476.9
ZTF19aarioci,TDE,89,44,45,347.1
ZTF19abhhjcc,TDE,121,60,61,87.7
ZTF19abzrhgq,TDE,138,57,81,1601.6
ZTF19accmaxo,TDE,47,22,25,219.3
ZTF19acspeuw,TDE,36,25,11,107.8
ZTF20aabqihu,TDE,36,19,17,82.9
ZTF20aamqmfk,TDE,102,52,50,102.8
ZTF20abefeab,TDE,57,29,28,89.9
ZTF20abfcszi,TDE,381,190,191,810.9
ZTF20abgwfek,TDE,38,17,21,72.9
ZTF20abjwvae,TDE,47,22,25,119.8
ZTF20abnorit,TDE,135,64,71,218.7
ZTF20abowque,TDE,115,59,56,175.7
ZTF20achpcvt,TDE,143,71,72,221.7
ZTF20acitpfz,TDE,39,19,20,52.0
ZTF20acnznms,TDE,139,73,66,221.7
ZTF20acqoiyt,TDE,47,25,22,72.9
ZTF21aaaokyp,TDE,235,118,117,175.7
ZTF21aanxhjv,TDE,461,173,288,1296.3
ZTF21abcgnqn,TDE,132,69,63,303.3
ZTF21abhrchb,TDE,58,30,28,92.7
ZTF21abjrysr,TDE,95,33,62,71.9
ZTF21abxngcz,TDE,93,27,66,201.8
ZTF21acafvhf,TDE,49,14,35,78.9
ZTF22aaabovl,TDE,37,17,20,101.0
ZTF22aaaedas,TDE,40,21,19,101.9
ZTF22aaahtqz,TDE,32,18,14,80.9
ZTF22aacgcwv,TDE,37,18,19,80.0
ZTF22aagvrlq,TDE,58,30,28,80.8
ZTF22abajudi,TDE,68,34,34,110.8
ZTF22abegjtx,TDE,181,92,89,738.0
ZTF22abkfhua,TDE,163,86,77,424.8
ZTF18abuxiwj,AGN,24,20,4,658.2
ZTF19aalfyyn,AGN,38,26,12,312.2
ZTF19abmmksy,AGN,101,52,49,238.6
ZTF21aaltbzp,AGN,19,6,13,80.8
ZTF21achafqr,AGN,21,21,0,576.1
ZTF22aabwxtw,AGN,219,161,58,786.0
ZTF22aaqccka,AGN,188,97,91,588.2
ZTF22abveoak,AGN,12,7,5,22.1
ZTF23aahbtjx,AGN,122,59,63,403.9
ZTF23aaslxmh,AGN,160,78,82,995.2
ZTF23abbbawg,AGN,20,10,10,38.0
ZTF23abbzfyu,AGN,107,52,55,852.7
ZTF23abqkwzr,AGN,74,39,35,369.1
ZTF23absjgzg,AGN,28,27,1,185.7
ZTF24aafaxvf,AGN,28,21,7,167.7
ZTF24aaiiosm,AGN,19,15,4,56.9
ZTF24aalnrat,AGN,63,32,31,678.1
ZTF24aapsitb,AGN,9,5,4,811.8
ZTF24abwywkf,AGN,65,39,26,333.1
shift_7_ZTF20abefeab,AGN,57,29,28,89.9
ZTF18aagrdcs,SN,391,373,18,2252.9
ZTF18aatzymw,SN,647,162,485,2303.9
ZTF18aaygwqd,SN,463,423,40,2300.8
ZTF18abjrbza,SN,965,448,517,2276.8
ZTF18abktmfz,SN,91,33,58,2243.0
ZTF18abnyqmj,SN,509,262,247,2226.0
ZTF18absoocp,SN,817,367,450,2245.0
ZTF18abugeuq,SN,278,164,114,2233.9
ZTF18aceckot,SN,351,168,183,2180.0
ZTF18acwvcbz,SN,429,223,206,2141.1
ZTF18adllqhd,SN,438,204,234,938.7
ZTF18admqhac,SN,286,151,135,870.8
ZTF18adonnxl,SN,208,98,110,802.0
ZTF19aaagfme,SN,57,26,31,1360.2
ZTF19aaapnxn,SN,444,208,236,2327.7
